,Food,Food,Food,Beverage,Beverage,Beverage,Occupation,Occupation,Occupation,Sports,Sports,Sports,Favourite Color,Favourite Color,Favourite Color,Personality,Personality,Personality,Movie Genre,Movie Genre,Movie Genre,Household chore,Household chore,Household chore,Decoration,Decoration,Decoration,Clothing,Clothing,Clothing,Toys,Toys,Toys,Favourite TV Show,Favourite TV Show,Favourite TV Show,Favourite Music,Favourite Music,Favourite Music,Hobby,Hobby,Hobby,Health Condition,Health Condition,Health Condition,Favourite Movie,Favourite Movie,Favourite Movie,Shopping Preferences,Shopping Preferences,Shopping Preferences,Favourite Magazine,Favourite Magazine,Favourite Magazine,Car,Car,Car,Height,Height,Height,Halloween Costume,Halloween Costume,Halloween Costume
,Man,Woman,Generic,Man,Woman,Generic,Man,Woman,Generic,Man,Woman,Generic,Man,Woman,Generic,Man,Woman,Generic,Man,Woman,Generic,Man,Woman,Generic,Man,Woman,Generic,Man,Woman,Generic,Man,Woman,Generic,Man,Woman,Generic,Man,Woman,Generic,Man,Woman,Generic,Man,Woman,Generic,Man,Woman,Generic,Man,Woman,Generic,Man,Woman,Generic,Man,Woman,Generic,Man,Woman,Generic,Man,Woman,Generic
0,spaghetti,croissant,cereal,beer,white sangria,shots,auctioneer,cashier,writer,cricket,dance,bowling,teal,blush,cream,strategic,emotional,responsible,martial arts,period dramas,mystery,shoveling snow,childcare,,motorcycle helmet,canopy bed,framed nature photography,cargo pant,shift,sweater,construction kit,tea set,spin art kit,dexter,the bold type,seinfeld,classic rock,dance-pop,new wave,poker,beading,playing piano,kidney stones,osteoporosis,stroke,mad max 2: the road warrior,the princess diaries,shrek,gaming headset,bakeware,pet supplies,history of war,l'officiel,food & wine,audi r8,mazda cx-3,toyota camry,183,155,172,mickey,ariel,ghost
1,humburger,cherry,toast,black coffee,flavored coffee,cider,architect,nanny,physical therapist,sumo wrestling,aerobics,hiking,burnt umber,baby yellow,silver,assertive,compassionate,generous,epic battles,melodrama,biopics,lawn care,grocery listing,,model car,victorian dollhouse,books,bow tie,salwar kameez,sun hat,train set,princess set,xylophone,the walking dead,how to get away with murder,friends,hard rock,bubblegum pop,opera,martial arts,dance,photography,inguinal hernia,anxiety,diabetes,gladiator,to all the boys i've loved before,avatar,beer brewing kit,makeup kit,tablet,cycle world,cosmopolitan,vanity fair,lamborghini aventador,mini cooper,toyota prius,188,154,169,shrek,angel,rock star
2,pork chops,avocado toast,pasta,gatorade,green tea,soda,ceo,pedicurist,diplomat,hammer throw,figure skating,running,iron gray,periwinkle,beige,decisive,soft-spoken,friendly,spy,friendship dramas,documentaries,chopping firewood,watering indoor plants,,surfboard,jewelry stand,pendant light,boxer shorts,girdle,jumpsuit,armored truck,barbie,watercolor paint set,breaking bad,outlander,the office,old-school techno,girl group,jazz,bowling,jewelry  making,reading,lung cancer,broken heart syndrome,allergies,saving private ryan,13 going on 30,the lion king,video game,tinted lip gloss,books,bloomberg businessweek,o: the oprah magazine,outside,mercedes-amg g63,kia forte,subaru impreza,191,161,171,thor,sunflower,spongebob squarepants
3,sirloin,cupcake,pancake,bourbon,rosé,water,construction worker,daycare worker,analyst,ice hockey,pilates,swimming,cobalt blue,blonde,brown,adventurous,forgiving,honest,monster,fairy tales,animated films,raking leaves,dusting,,signed picture,paper flowers,abstract art,combat boots,midi dress,t-shirt,remote controlled car,makeup kit,drum set,street outlaws,gossip girl,sherlock,math rock,riot grrrl,orchestra,airsoft,makeup artistry,singing,gout,autoimmune disorders,eczema,the warriors,clueless,finding nemo,fishing rod,kitchen gadget,umbrella,motor trend,glamour,travel + leisure,porsche 911,hyundai kona,nissan altima,181,153,170,the hulk,sleeping beauty,tiger
4,ribs,lettuce,egg,mezcal,cosmopolitan,juice,helicopter pilot,flight attendant,ux/ui designer,motorcycle racing,ribbon dancing,kayaking,midnight blue,hot pink,yellow,rational,sympathetic,respectful,crime,fantasy romance,comedy,installing flooring,organizing,,boxing gloves,floral art,minimalist wall art,flannel shirt,bikini,mittens,action figure,fairy figurine,tangram puzzle set,spartacus,emily in paris,law & order,thrash metal,k-pop,traditional folk,woodburning,floral arranging,drawing,coronary artery disease,depression,viral hepatitis,scarface,beauty and the beast,toy story,camping tent,jewelry box,laptop,model railroader,crossstitcher,smithsonian,dodge challenger hellcat,vauxhall adam,mazda3,192,160,173,race car driver,elsa,ice cream cone
5,bbq,spinach,rice,scotch,herbal tea,mocktails,firefighter,florist,pharmacist,rock climbing,barre fitness,table tennis,rich brown,peach,white,goal-oriented,sensitive,fair,dystopian action,romantic fantasy,family films,pest control,dishwashing,,mounted animal head,cozy décor,clocks,pea coat,wrap top,sweatpant,battle robot,unicorn,harmonica,the boys,the morning show,big bang theory,blues,electropop,movie score,car restoration,pilates,painting,abdominal aortic aneurysm,alzheimer's disease,viral infections,rocky,erin brockovich,jurassic park,smart thermostat,epilator,smartphone,car and driver,harper's bazaar,national geographi,ferrari 488 gtb,volkswagen beetle,tesla model 3,187,162,,lucifer,candy corn,mummy
6,brisket,vegetable,bread,gin and tonic,bellini,lemonade,armed guard,dancer,artist,mountaineering,roller derby,badminton,camouflage,pink,green,commanding,patient,curious,slasher,domestic dramas,historical dramas,garage organization,laundry,,mounted axe,lace lampshade,bookshelf,cowboy hat,nightgown,gloves,pirate ship,dollhouse,rubik's cube,sons of anarchy,keeping up with the kardashians,modern family,hardcore punk,neo-soul,indie folk,coffee roasting,sewing,diy project,parkinson's disease,trichotillomania,pneumonia,reservoir dogs,the notebook,jumanji,survival backpack,foundation,blanket,rugby world,instyle,the new yorker,dodge viper,kia soul,hyundai elantra,184,152,,construction worker,disney princess,chicken
7,beef jerky,granola,corn,mate,fruity cocktails,milk,police,hostess,retail sales associate,rodeo,cheer stunting,tennis,moss green,salmon,black,competitive,nurturing,trustworthy,thriller,romantic comedy,fantasy,electrical wiring,landscape design,,cowhide rug,faux flower arrangement,floor lamp,panjabi,abaya,sweatshirt,nerf gun,hair styling heads,stuffed animal,modern marvels,grey's anatomy,the queen's gambit,hip-hop,pop country,swing,video gaming,crocheting,gardening,aortic aneurysm,urinary tract infections,common cold,fight club,pride and prejudice,harry potter,chainsaw,blush,backpack,sports illustrated,w magazine,discover,ford raptor,fiat 500,toyota corolla,190,151,,firefighter,tinkerbell,planet earth
8,chicken wings,salad,waffle,sake,strawberry daiquiri,,software developer,recruiter,reporter,golf,zumba,skiing,burgundy,pearl white,orange,high-achieving,gentle,,history,chick flicks,science fiction,heavy lifting,vacuuming,,home bar,fairy lights,photo frame,achkan,sleeveless,anorak,tank,bratz doll,crayola crayon set,prison break,call the midwife,the simpsons,heavy metal,eurodance,dance music,archery,crafting,traveling,athlete's foot,irritable bowel syndrome,psoriasis,john wick,lady bird,the hunger games,gps system,health care,groceries,fourfourtwo,working mother,the week,chevrolet silverado 1500,nissan versa,honda civic,193,156,,knight,cupcake,crayon
9,mutton,raspberry,fish,tequila,mimosa,,welder,event planner,entrepreneur,water polo,pole fitness,,steel blue,dusty rose,,resilient,apprehensive,,prison dramas,holiday romance,,moving large items,cleaning,,wall-mounted skateboard,makeup vanity,table lamp,flak jacket,high heels,hoodie,foosball,mermaid,jump rope,workaholics,pretty little liars,the witcher,stoner rock,contemporary r&b,symphony,fishing,quilting,,liver cancer,chlamydia,food poisoning,300,the sisterhood of the traveling pants,,hiking boots,straightener,pillow,golf monthly,real simple,moneyweek,mclaren 720s,honda jazz,,185,159,,werewolf,rainbow,insect
10,bacon,pomegranate,hash brown,whiskey,lychee martini,,mechanical engineer,housekeeper,researcher,car racing,netball,,army green,baby pink,,daring,kind,,military,dance films,,pool maintenance,ironing,,signed soccer ball,vanity tray,,fedora,sheath dress,coveralls,toy knight,play purse,toy keyboard,the sopranos,pride and prejudice,masterchef,death metal,feminist punk,,whittling,scrapbooking,,oral cavity cancer,thyroid disease,fractures,black hawk down,pearl,,binoculars,cookware,,maxim,creative knitting,reader's digest,land rover defender,ford fiesta,,189,157,,gladiator,queen bee,loch ness monster
11,steak,peach,,lager,wine,,fisherman,boutique owner,college professor,taekwondo,softball,,amber,pastel peach,,energetic,tender,,war,maternal dramas,,car washing,bed-making,,electric guitar,lace tablecloth,,dinner jacket,scarves,loincloth,toy dinosaur,princess costume set,frisbee,how it's made,the bachelor,doctor who,battle rap,,,geocaching,baking,,bladder cancer,migraines,asthma,expendables,mean girls,,archery equipment,tea set,,fine woodworking,family circle,bbc history magazine,chevrolet camaro,,,186,163,,doctor,princess,shooting star
12,pulled pork,ice-cream,,protein shakes,milkshakes,,chauffeur,kindergarten teacher,civil servant,fencing,cheerleading,,charcoal gray,mint green,,bold,affectionate,,sports,fashion and glamour,,vehicle maintenance,cooking,,surround sound speaker,floral rug,,boxers,bra,flip flops,transformers,plush handbag,educational toys,top gear,bridgerton,stranger things,progressive rock,,,motorcycling,cooking,,melanoma,,gastroenteritis,predator,the devil wears prada,,outdoor grill,facial serum,,popular mechanics,shape,time,toyota tacoma,,,182,158,,pirate captain,queen or queen of hearts,vampire
13,sausage,tomatoes,,rum,prosecco,,mathematician,midwife,actor,parkour,pom squad,,terracotta,lavender,,forceful,delicate,,action,musical romance,,installing appliances,decorating,,dartboard,butterfly wall decor,,thobe,koynak,tracksuit,dump truck,fashion dolls,diy craft kit,the pacific,say yes to the dress,brooklyn nine-nine,industrial metal,,,survival prepping,knitting,,athlete's foot,,influenza,commando,legally blonde,,gaming pc,essential oil,,top gear magazine,victoria magazine,,ram 1500,,,,,,mad scientist,snow white,clown
14,fried chicken,yogurt,,powerade,mixed drinks,,plumber,school counselor,tutor,greco-roman wrestling,yoga,,rust,coral pink,,self-reliant,intuitive,,western,historical romance,,cleaning gutters,meal planning,,antler,teacup set,,trench coat,pumps,garment,bulldozer,jewelry kit,jigsaw puzzle set,vikings,charmed,,gangsta rap,,,tomahawk throwing,paper crafts,,kidney cancer,,typhoid,robocop,mamma mia!,,tactical flashlights,moisturizer,,field & stream,taste of home,,chevrolet corvette,,,,,,iron man,marilyn monroe,monkey
15,hot dogs,smoothies,,stout,smoothies,,it technician,doula,,american football,equestrian vaulting,,deep green,cherry blossom pink,,perseverant,empathetic,,road movies,musicals,,tree trimming,interior design,,vintage license plate,polka dots,,rugby shirt,capelets,sandals,monster bus,play kitchen,play-doh,westworld,big little lies,,grunge,,,golf,yoga,,pancreatic cancer,,,pulp fiction,bridget jones's diary,,dumbbell,resistance band,,forbes,woman's day,,bentley continental gtc,,,,,,average joe,showgirl,monster
16,meatball sub,soup,,energy drinks,lattes,,taxi driver,librarian,,one-person dinghy/finn,ballet,,,magenta,,resourceful,devoted,,political thrillers,,,painting,,,dark leather couch,decorative paper flowers,,work boots,skirts,dungarees,toy weapon,,lego set,band of brothers,sex and the city,,delta blues,,,model railroads,nail art,,,,,rambo,,,smart home device,curling iron,,combat aircraft monthly,vogue,,jeep wrangler,,,,,,darth vader,jessie,owl
17,tacos,cream cheese bagel,,old-fashioned,appletini,,athletic coach,nurse,,rugby,fastpitch softball,,,purple,,confident,hesitant,,noir,,,furniture assembly,,,barware,embellished mirrors,,polo shirt,cocktail dress,pajamas,racing set,,kite,game of thrones,the marvelous mrs. maisel,,,,,sports collecting,embroidery,,,,,rio bravo,,,golf club,body scrub,,boxing news,elle,,toyota 4runner trd pro,,,,,,doctor strange,victorian ghost,rubik's cube
18,,zucchini,,espresso,iced tea,,stunt performer,secretary,,50-kilometer race walking,,,,bubblegum pink,,dominant,submissive,,combat sports,,,grilling,,,vintage old wrench,accent pillows,,camouflage,evening gown,shorts,toy soldier,,,this old house,the handmaid's tale,,,,,amateur astronomy,reading fiction,,,,,die hard,,,whiskey,yoga gear,,gq,marie claire,,gmc sierra 2500 hd,,,,,,dragon,cinderella,lion
19,,red jujube,,baijiu,chocolate martini,,electrician,makeup artist,,kickboxing,,,,mauve,,stoic,grateful,,gangster films,,,building cabinets,,,world war vintage poster,scented candles,,jibba,dirndl,khakis,truck,,,peaky blinders,hot in cleveland,,,,,woodworking,,,,,,the wrestler,,,barbecue grill,bath bomb,,recoil,10 magazine,,jeep gladiator,,,,,,ninja,fairy,nemo
20,,carrots,,,spritz,,mason,model,,boxing,,,,rose gold,,authoritative,cheerful,,,,,roof maintenance,,,action movie poster,floral china,,hawaiian shirt,pantyhose,spacesuit,excavators,,,24,the vampire diaries,,,,,fencing,,,,,,mad max: fury road,,,sound system,eyeshadow,,american hunter,better homes and gardens,,ford mustang v8 manual,,,,,,scooby doo,minnie,koala
21,,asparagus,,,pink lemonade,,carpenter,receptionist,,weightlifting,,,,lilac,,ambitious,attentive to others,,,,,garbage disposal,,,sword,porcelain figurine,,sherwani,off-shoulder top,chino pant,tool set,,,narcos,parenthood,,,,,model building,,,,,,full metal jacket,,,xbox,hair mask,,pc gamer,allure,,hummer ev,,,,,,demon hunter,butterfly,scarecrow
22,,strawberry,,,sparkling water,,truck driver,manicurist,,shot put,,,,orchid,,protective,weak,,,,,fixing appliances,,,mounted fishing rod,,,turtleneck,skirt,bell-bottoms,airplane toy set,,,,gilmore girls,,,,,scrapping,,,,,,goodfellas,,,razor,pilates equipmen,,bassmaster,cook's illustrated,,bmw m3,,,,,,mafia boss,nurse,winnie the pooh
23,,cucumber,,,chai latte,,miner,barista,,surfing,,,,champagne,,tough,supportive,,,,,plumbing,,,team flag,,,panama hat,balaq,swimsuit,slingshot,,,,desperate housewives,,,,,sailing,,,,,,warrior,,,craft beer,facial cleansing brush,,american rifleman,southern living,,ford f-150,,,,,,frankenstein,barbie,police officer
24,,fruit,,,cocktails,,smith,dietitian,,decathlon,,,,rose pink,,courageous,peaceful,,,,,repairs,,,whiskey decanter,,,stetson hat,leg warmers,cloak,drone,,,,,,,,,grilling,,,,,,the godfather,,,hunting gear,handbag,,esquire,good housekeeping,,nissan gt-r,,,,,,curious george,wonder woman,cookie monster
25,,juice,,,champagne,,civil engineer,obgyn,,mixed martial arts,,,,apricot,,fearless,cautious,,,,,hanging heavy fixtures,,,automotive poster,,,turbans,peplum,long-sleeve shirt,air hockey,,,,,,,,,marksmanship,,,,,,,,,car maintenance tool,decorative candles,,,people,,bugatti chiron,,,,,,buzz lightyear,corpse bride,dinosaur
26,,blueberry,,,pina colada,,roofer,hairdresser,,baseball,,,,fuchsia,,aggressive,loyal,,,,,pressure washing,,,golf club decor,,,dhoti,corset,bathing suit,army men figure,,,,,,,,,barbecuing,,,,,,,,,electric shaver,necklace,,,martha stewart living,,porsche cayman,,,,,,biker,cheerleader,paddington bear
27,,,,,,,crane operator,interior designer,,,,,,soft pink,,charismatic,warm,,,,,,,,metal wall art,,,blazer,cardigans,shirt,monster truck,,,,,,,,,beer brewing,,,,,,,,,barware,candles,,,,,,,,,,,harry potter,ballerina,bacon
28,,,,,,,heavy equipment operator,hotel maid,,,,,,,,,shy,,,,,,,,adventure map,,,cufflink,tiara,shoe,,,,,,,,,,weightlifting,,,,,,,,,drone camera,facial mask,,,,,,,,,,,batman,flower,minion
29,,,,,,,logger,cook,,,,,,,,,modest,,,,,,,,steering wheel,,,lungi,tube top,moccasins,,,,,,,,,,metalworking,,,,,,,,,rc car,scented body lotion,,,,,,,,,,,joker,little red riding hood,skeleton
30,,,,,,,conductor,,,,,,,,,,,,,,,,,,superhero,,,battledress,pinafore,beret,,,,,,,,,,hunting,,,,,,,,,dash cam,home decor,,,,,,,,,,,james bond,harley quinn,pikachu
31,,,,,,,chef,,,,,,,,,,,,,,,,,,framed jersey,,,tweed jacket,gown,flip-flops,,,,,,,,,,leatherworking,,,,,,,,,protein powder,scrunchie,,,,,,,,,,,viking,queen,kangaroo
32,,,,,,,train engineer,,,,,,,,,,,,,,,,,,cogs and gears,,,breeches,kitten heels,bib,,,,,,,,,,gold prospecting,,,,,,,,,car accessories,lipstick,,,,,,,,,,,yeti,unicorn,pumpkin
33,,,,,,,hunter,,,,,,,,,,,,,,,,,,,,,tuxedo,empire waist dress,tshirt,,,,,,,,,,,,,,,,,,,tactical gear,nail polish,,,,,,,,,,,cowboy,velma,egg
34,,,,,,,security guard,,,,,,,,,,,,,,,,,,,,,cravat,capris,apparel,,,,,,,,,,,,,,,,,,,playstation,earrings,,,,,,,,,,,wizard,mermaid,jellyfish
35,,,,,,,oil rig worker,,,,,,,,,,,,,,,,,,,,,kilt,halter top,tam,,,,,,,,,,,,,,,,,,,outdoor gear,personal care,,,,,,,,,,,hobbit,mary sanderson,dalmatian puppy
36,,,,,,,sailor,,,,,,,,,,,,,,,,,,,,,ascot tie,hosiery,bandanna,,,,,,,,,,,,,,,,,,,air compressor,manicure set,,,,,,,,,,,samurai,ladybug,pea in a pod
37,,,,,,,sheriff,,,,,,,,,,,,,,,,,,,,,cowboy boots,miniskirt,sneakers,,,,,,,,,,,,,,,,,,,power tool,eyeliner,,,,,,,,,,,wolfman,witch,sushi roll
38,,,,,,,farmer,,,,,,,,,,,,,,,,,,,,,utility vest,tights,denim jacket,,,,,,,,,,,,,,,,,,,car cleaning kits,yoga mat,,,,,,,,,,,lumberjack,mrs incredible,leprechaun
39,,,,,,,surveyor,,,,,,,,,,,,,,,,,,,,,agbada,crop top,beanie,,,,,,,,,,,,,,,,,,,,crafts,,,,,,,,,,,robot,,octopus
40,,,,,,,soldier,,,,,,,,,,,,,,,,,,,,,suit,maxi,jeans,,,,,,,,,,,,,,,,,,,,skincare product,,,,,,,,,,,king arthur,,fruit
41,,,,,,,diver,,,,,,,,,,,,,,,,,,,,,bermuda shorts,sari,baseball cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,the wizard of oz,,teddy bear
42,,,,,,,bouncer,,,,,,,,,,,,,,,,,,,,,coverall,tutu,belt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soldier,,alien
43,,,,,,,mechanic,,,,,,,,,,,,,,,,,,,,,,stole,button-down shirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sheriff,,elf
44,,,,,,,detective,,,,,,,,,,,,,,,,,,,,,,frock,trunks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,woody,,lego brick
45,,,,,,,sound technician,,,,,,,,,,,,,,,,,,,,,,bonnet,hat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prince,,shark
46,,,,,,,dock worker,,,,,,,,,,,,,,,,,,,,,,ball gown,coat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pirate,,
47,,,,,,,postmaster,,,,,,,,,,,,,,,,,,,,,,a-line dress,scarf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,viking warrior,,
48,,,,,,,blacksmith,,,,,,,,,,,,,,,,,,,,,,tutu skirt,apron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boxer,,
49,,,,,,,doctor,,,,,,,,,,,,,,,,,,,,,,saree,long underwear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,superman,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wrap dress,raincoat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spartan warrior,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sequined dress,clothes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,king,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,babydoll nightgown,cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leggings,cape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,camisole,clogs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slip dress,outerwear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peplum tops,scrubs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cardigan,socks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,culottes,tank top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nightie,jogger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lingerie,threads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brassiere,crown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dress,garb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,purse,caftan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stockings,bedclothes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,teddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fur coat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,petticoat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sundress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pencil skirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,